latitude,longitude,num_nearby_attractions
34.66141,-118.23373,0
34.072452729801334,-118.26455143960202,9
34.07784,-118.35027,5
34.05173,-118.39464,1
34.050127,-118.458775,1
33.86479,-118.38944,8
34.15879,-118.37348,2
34.0304496195358,-118.29920054761166,1
34.08805,-118.38838,7
34.08877,-118.30703,6
33.99802,-117.84086,0
34.006615319823524,-117.89614402961912,0
34.09203045934098,-118.29030296188952,4
33.77995,-118.15472,2
34.0634,-118.10963,1
34.06652290541838,-118.14644755502349,1
34.1016,-118.32992,20
34.06842,-118.13492,1
33.98593,-118.46758,18
34.05274,-118.38227,0
34.10584,-118.31306,6
33.34086,-118.32313,20
34.05572,-118.30305,9
34.07201,-118.03457,7
33.98070060881979,-118.4643239287081,9
34.10035,-118.04414,1
34.16824,-118.52586,0
34.03856392663332,-118.64445681534426,2
34.114,-118.5915,0
34.01039765458233,-117.88084052503108,1
34.15386,-118.47122,1
34.19937,-118.52056,1
34.04141,-118.2512,15
34.06029,-118.38453,1
34.01609,-118.49691,20
33.96958,-118.29113,0
34.05995012249906,-118.02370871651516,1
33.35278,-118.33121,10
34.10505,-117.73646,1
34.06639,-118.34394,3
33.98664,-117.89974,0
34.13666,-118.37962,2
34.066738802835715,-118.14829062474767,1
34.08838,-118.27696,5
34.0866,-118.17052,0
34.08211,-117.9268,0
33.93847,-118.23227,1
34.15343860806177,-118.34193734794395,5
33.959,-118.4429,2
34.05896,-118.39999,6
34.08349,-118.31949,7
34.17174,-118.44031,0
34.15994,-118.37586,4
34.068182133879205,-118.39764420260646,11
33.97952,-118.4658,9
34.08507,-118.27303,5
34.01441960645335,-118.4910579189658,20
34.14827,-118.11488,1
34.10481,-118.3435,20
33.97046871729,-118.38697560965548,0
34.16738,-118.64322,0
33.99776,-118.43066,2
34.14309,-118.25674,3
34.058988727055606,-118.3849276039174,0
33.9941,-118.46684,9
34.1337,-118.25697,2
33.98392,-118.46619,18
34.10226,-118.3354,20
34.06329,-118.14449,2
34.16474,-118.60235,1
34.042851435400685,-118.16535084394036,1
33.99896741299062,-118.42535426238672,1
34.0828,-118.36106,7
34.06473777216225,-118.3905250755863,4
33.91504,-118.13426,1
33.84201719520738,-118.3479455516962,3
33.9418,-118.3464,1
34.103744,-118.3000515,6
33.87606163343467,-118.406115314043,2
34.08621,-118.30966,6
34.03943,-118.35236,0
33.8918,-118.14115,2
34.0924943,-118.3147365,6
34.02023,-118.4216,2
34.0900481325545,-118.34601417773943,8
34.06208113909485,-118.37565057116169,3
34.11573226917735,-118.5894555509262,0
34.03742,-118.63619,1
33.75199,-118.29937,4
33.99262,-117.88537,1
34.05311,-118.26394,8
33.766173,-118.1870223,18
34.04049,-118.43217,0
34.02251,-118.50066,9
34.02416370850756,-118.39916333556177,6
